10005,2
10006,3
10011,1
10015,3
10016,2
10017,3
10030,3
10033,3
10039,3
10040,3
10041,3
10042,2
10050,3
10052,3
10053,3
10056,3
10064,3
10065,2
10076,2
10085,2
10135,0
10136,0
10139,1
10140,0
10141,1
10146,1
10154,0
10155,0
10157,0
10158,0
10165,1
10170,0
10171,2
10172,3
10184,1
10185,0
10194,1
10198,2
10204,1
10208,0
10216,2
10221,1
10224,3
10225,1
10237,2
10241,1
10243,2
10245,0
10247,1
10257,0
10267,3
10268,1
10272,1
10275,0
10278,2
10279,0
10298,1
10299,0
10304,1
10313,2
10317,3
10322,2
10324,2
10325,2
10327,2
10329,2
10333,1
10347,3
10348,3
10349,1
10361,1
10372,0
10380,3
10385,3
10396,1
10397,0
10400,3
10405,1
10408,0
10409,1
10414,1
10416,1
10419,3
10423,0
10424,3
10431,0
10434,0
10460,3
10463,3
10466,0
10469,0
10476,2
10478,2
10511,3
10529,0
10535,2
10540,1
10543,3
10551,0
10557,1
10558,1
10559,1
10561,0
10562,2
10569,2
10577,0
10581,0
10589,1
10590,0
10599,0
10613,1
10615,2
10617,3
10620,0
10627,0
10630,2
10631,1
10640,1
10643,1
10647,1
10654,1
10661,0
10666,0
10670,2
10676,0
10683,1
10685,0
10687,3
10693,0
10713,0
10715,3
10721,0
10728,1
10731,1
10732,0
10739,1
10744,1
10747,0
10754,0
10770,2
10775,1
10778,3
10779,1
10781,0
10783,1
10785,0
10792,0
10800,0
10815,2
10817,3
10819,1
10821,0
10838,3
10849,0
10857,3
10868,0
10874,0
10886,3
10910,2
10917,1
10918,1
10923,2
10925,1
10926,1
10927,3
10930,1
10933,2
10938,2
10945,3
10946,3
10950,1
10961,1
10965,2
10967,1
10980,0
10982,3
10990,0
10994,0
10996,2
10999,3
11002,3
11003,0
11007,2
11013,1
11027,1
11028,2
11036,2
11041,2
11042,0
11049,0
11050,3
11053,2
11057,0
11058,3
11066,0
11067,0
11076,1
11085,1
11086,3
11092,1
11097,0
11098,2
11106,3
11109,0
11111,0
11122,0
11123,1
11126,1
11135,3
11140,0
11146,0
11150,0
11165,3
11174,3
11176,3
11188,3
11193,0
11197,1
11198,3
11200,2
11203,0
11214,1
11227,1
11230,3
11233,1
11241,2
11245,2
11252,0
11259,0
11267,0
11274,0
11278,0
11280,2
11282,3
11283,1
11288,1
11292,0
11298,0
11299,3
11308,0
11315,1
11317,2
11331,3
11336,1
11337,0
11341,3
11344,2
11367,2
11375,2
11376,2
11388,3
11391,2
11392,1
11399,1
11401,1
11411,1
11413,0
11415,3
11421,2
11423,0
11430,3
11431,2
11433,0
11441,1
11445,1
11447,1
11450,3
11453,2
11456,2
11463,2
11468,1
11470,0
11471,1
11479,2
11481,0
11484,2
11487,2
11492,1
11493,2
11495,2
11503,0
11506,3
11510,2
11511,2
11512,2
11517,2
11522,3
11525,1
11531,1
11535,1
11537,0
11538,3
11540,0
11545,2
11550,1
11555,0
11559,2
11563,0
11577,0
11587,1
11588,1
11592,3
11603,0
11612,0
11615,1
11617,0
11618,0
11619,2
11624,0
11627,3
11630,0
11633,3
11637,0
11638,0
11641,0
11643,2
11646,2
11648,0
11650,3
11656,3
11659,3
11663,3
11669,3
11673,2
11675,2
11684,1
11695,0
11697,0
11699,0
11702,3
11711,2
11714,3
11719,1
11720,2
11721,0
11725,1
11726,1
11728,2
11732,3
11756,3
11762,1
11764,1
11775,0
11778,0
11789,2
11790,3
11813,3
11823,0
11824,3
11825,3
11827,2
11828,3
11833,1
11834,2
11840,3
11842,2
11844,1
11845,1
11856,3
11859,2
11865,1
11867,1
11869,0
11870,3
11871,3
11879,1
11883,3
11884,0
11885,3
11898,0
11899,2
11905,1
11908,1
11921,0
11924,2
11931,1
11938,3
11941,1
11947,3
11952,1
11953,0
11961,2
11973,0
11975,3
